2;3.69e-5;3.55e-5;4.29e-5;2.41e-5;1.4;-8.86e1;-8.90e1;-8.73e1;-9.24e1;1.4
3;4.38e-5;4.21e-5;4.58e-5;2.60e-5;1.8;-8.72e1;-8.75e1;-8.68e1;-9.17e1;1.8
4;5.79e-5;5.60e-5;5.78e-5;2.95e-5;2.2;-8.47e1;-8.50e1;-8.48e1;-9.06e1;2.2
5;9.43e-5;9.53e-5;0.000101;3.50e-5;2.6;-8.05e1;-8.04e1;-7.99e1;-8.91e1;2.6
6;0.000171;0.000174;0.000184;5.80e-5;3;-7.53e1;-7.52e1;-7.47e1;-8.47e1;3
7;0.000353;0.000359;0.000378;0.000118;3.4;-6.90e1;-6.89e1;-6.85e1;-7.86e1;3.4
8;0.000945;0.000945;0.000994;0.000301;3.8;-6.05e1;-6.05e1;-6.01e1;-7.04e1;3.8
9;0.005588;0.005449;0.005703;0.001573;4.2;-4.51e1;-4.53e1;-4.49e1;-5.61e1;4.2
10;0.022459;0.023444;0.024567;0.006676;4.6;-3.30e1;-3.26e1;-3.22e1;-4.35e1;4.6
11;0.041846;0.043511;0.045724;0.012577;5;-2.76e1;-2.72e1;-2.68e1;-3.80e1;5
12;0.054312;0.050848;0.05122;0.013823;5.4;-2.53e1;-2.59e1;-2.58e1;-3.72e1;5.4
13;0.068511;0.066252;0.068229;0.022167;5.8;-2.33e1;-2.36e1;-2.33e1;-3.31e1;5.8
14;0.087936;0.083521;0.084903;0.03772;6.2;-2.11e1;-2.16e1;-2.14e1;-2.85e1;6.2
15;0.112566;0.119901;0.147506;0.063274;6.6;-1.90e1;-1.84e1;-1.66e1;-2.40e1;6.6
16;0.147933;0.153987;0.200012;0.094709;7;-1.66e1;-1.63e1;-1.40e1;-2.05e1;7
17;0.184506;0.198711;0.276604;0.129142;7.4;-1.47e1;-1.40e1;-1.12e1;-1.78e1;7.4
18;0.218619;0.248499;0.36586;0.17003;7.8;-1.32e1;-1.21e1;-8.73e0;-1.54e1;7.8
19;0.24438;0.275068;0.43768;0.1912;8.2;-1.22e1;-1.12e1;-7.18e0;-1.44e1;8.2
20;0.247833;0.307341;0.532625;0.215071;8.6;-1.21e1;-1.02e1;-5.47e0;-1.33e1;8.6
21;0.247353;0.332112;0.635734;0.229618;9;-1.21e1;-9.57e0;-3.93e0;-1.28e1;9
22;0.269966;0.349537;0.756139;0.2319;9.4;-1.14e1;-9.13e0;-2.43e0;-1.27e1;9.4
23;0.261949;0.376709;0.889437;0.237751;9.8;-1.16e1;-8.48e0;-1.02e0;-1.25e1;9.8
24;0.264266;0.423281;1.101443;0.239487;10.2;-1.16e1;-7.47e0;8.39e-1;-1.24e1;10.2
25;0.264921;0.504453;1.339732;0.243846;10.6;-1.15e1;-5.94e0;2.54e0;-1.23e1;10.6
26;0.25758;0.679961;1.496316;0.244956;11;-1.18e1;-3.35e0;3.50e0;-1.22e1;11
27;0.236262;0.896824;1.55295;0.241705;11.4;-1.25e1;-9.46e-1;3.82e0;-1.23e1;11.4
28;0.233118;0.925729;1.567634;0.209426;11.8;-1.26e1;-6.70e-1;3.90e0;-1.36e1;11.8
29;0.269576;0.531203;1.556511;0.244855;12.2;-1.14e1;-5.49e0;3.84e0;-1.22e1;12.2
30;0.262617;0.168929;1.436603;0.251353;12.6;-1.16e1;-1.54e1;3.15e0;-1.20e1;12.6
31;0.269419;0.131914;1.240274;0.254822;13;-1.14e1;-1.76e1;1.87e0;-1.19e1;13
32;0.265989;0.078537;1.052276;0.248543;13.4;-1.15e1;-2.21e1;4.43e-1;-1.21e1;13.4
33;0.257594;0.093944;0.850363;0.240175;13.8;-1.18e1;-2.05e1;-1.41e0;-1.24e1;13.8
34;0.258575;0.096426;0.709624;0.234682;14.2;-1.17e1;-2.03e1;-2.98e0;-1.26e1;14.2
35;0.257269;0.121413;0.623218;0.232945;14.6;-1.18e1;-1.83e1;-4.11e0;-1.27e1;14.6
36;0.261586;0.127611;0.561624;0.234449;15;-1.16e1;-1.79e1;-5.01e0;-1.26e1;15
37;0.260095;0.140462;0.510954;0.242813;15.4;-1.17e1;-1.70e1;-5.83e0;-1.23e1;15.4
38;0.257263;0.14063;0.463891;0.234684;15.8;-1.18e1;-1.70e1;-6.67e0;-1.26e1;15.8
39;0.255261;0.140794;0.420017;0.228729;16.2;-1.19e1;-1.70e1;-7.53e0;-1.28e1;16.2
40;0.240351;0.151563;0.377275;0.238498;16.6;-1.24e1;-1.64e1;-8.47e0;-1.25e1;16.6
41;0.262834;0.144642;0.361887;0.22849;17;-1.16e1;-1.68e1;-8.83e0;-1.28e1;17
42;0.265311;0.139716;0.341001;0.229869;17.4;-1.15e1;-1.71e1;-9.34e0;-1.28e1;17.4
43;0.26575;0.153907;0.320028;0.231503;17.8;-1.15e1;-1.63e1;-9.90e0;-1.27e1;17.8
44;0.272934;0.157047;0.307048;0.230898;18.2;-1.13e1;-1.61e1;-1.03e1;-1.27e1;18.2
45;0.270899;0.153854;0.28802;0.226717;18.6;-1.13e1;-1.63e1;-1.08e1;-1.29e1;18.6
46;0.277846;0.160023;0.278396;0.231871;19;-1.11e1;-1.59e1;-1.11e1;-1.27e1;19
47;0.274181;0.147293;0.258779;0.224001;19.4;-1.12e1;-1.66e1;-1.17e1;-1.30e1;19.4
48;0.272691;0.162666;0.24176;0.232354;19.8;-1.13e1;-1.58e1;-1.23e1;-1.27e1;19.8
49;0.279093;0.156853;0.23558;0.220507;20.2;-1.11e1;-1.61e1;-1.26e1;-1.31e1;20.2
